127.0.0.1 - - [15/Apr/2025:09:50:09 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:10 +0900] "GET /Weekend/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/webzine/list.do HTTP/1.1" 200 10929
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg06.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/css/Style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/js/Nav.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/css/Main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/js/Main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg04.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/js/InfiniteScroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg02.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/img/loading.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:12 +0900] "GET /Weekend/Uploads/testimg04.jpg HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:13 +0900] "GET /Weekend/img/Logo_50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:13 +0900] "GET /Weekend/fonts/RighteousRegular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:55 +0900] "GET /Weekend/img/ad_01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:50:55 +0900] "GET /Weekend/webzine/list.do?pageNum=2 HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:51:42 +0900] "GET /Weekend/webzine/wview.do?wno=6 HTTP/1.1" 200 4134
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:51:42 +0900] "GET /Weekend/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:51:42 +0900] "GET /Weekend/css/WebzineView.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:51:42 +0900] "GET /Weekend/js/WebzineView.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:52:59 +0900] "GET /Weekend/webzine/wview.do?wno=4 HTTP/1.1" 200 3404
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:52:59 +0900] "GET /Weekend/Uploads/testimg04.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:53:02 +0900] "GET /Weekend/login.do?from=webzine HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [15/Apr/2025:09:53:02 +0900] "GET /Weekend/css/User.css HTTP/1.1" 304 -
